Threshold,Horizon,Category,NSamples,MSE,DirAcc,NetPts,NetPtsATR,Sharpe
0.03,1,0,332,0.001120,0.5934,1.7720,0.0016,0.1726
0.03,1,1,309,0.001073,0.5825,2.9982,0.0033,0.3240
0.03,1,aggregate,641,0.001097,0.5881,4.7702,0.0049,0.2437
0.03,3,0,332,0.003112,0.6054,4.3703,0.0038,0.2481
0.03,3,1,309,0.003344,0.6375,6.2811,0.0078,0.3922
0.03,3,aggregate,641,0.003224,0.6209,10.6514,0.0116,0.3160
0.03,5,0,332,0.005235,0.5693,4.3310,0.0027,0.1884
0.03,5,1,309,0.006953,0.5566,2.0223,0.0070,0.0894
0.03,5,aggregate,641,0.006063,0.5632,6.3533,0.0097,0.1391
0.03,10,0,331,0.012894,0.5770,4.8289,0.0029,0.1432
0.03,10,1,309,0.014928,0.5825,3.9019,0.0078,0.1339
0.03,10,aggregate,640,0.013876,0.5797,8.7309,0.0107,0.1387
0.05,1,0,317,0.001164,0.5804,1.8168,0.0015,0.1778
0.05,1,1,324,0.001075,0.5617,2.4202,0.0019,0.2509
0.05,1,aggregate,641,0.001119,0.5710,4.2370,0.0034,0.2131
0.05,3,0,317,0.003316,0.5678,3.5733,0.0019,0.2026
0.05,3,1,324,0.003372,0.6296,5.9463,0.0060,0.3724
0.05,3,aggregate,641,0.003344,0.5991,9.5196,0.0078,0.2821
0.05,5,0,317,0.005833,0.5584,3.5370,0.0019,0.1495
0.05,5,1,323,0.005820,0.6037,5.9942,0.0061,0.2915
0.05,5,aggregate,640,0.005827,0.5813,9.5312,0.0081,0.2146
0.05,10,0,317,0.013452,0.5016,1.0707,0.0046,0.0317
0.05,10,1,322,0.013402,0.5776,4.0537,0.0032,0.1442
0.05,10,aggregate,639,0.013427,0.5399,5.1244,0.0079,0.0823
0.1,1,0,321,0.001203,0.5607,1.2420,0.0011,0.1203
0.1,1,1,320,0.000917,0.5125,1.6815,0.0018,0.1846
0.1,1,aggregate,641,0.001060,0.5367,2.9235,0.0028,0.1501
0.1,3,0,321,0.003373,0.5950,3.6880,0.0030,0.2141
0.1,3,1,320,0.003403,0.5969,4.9461,0.0069,0.2982
0.1,3,aggregate,641,0.003388,0.5959,8.6342,0.0099,0.2552
0.1,5,0,321,0.005577,0.5888,4.7850,0.0045,0.2129
0.1,5,1,320,0.005690,0.5938,6.7873,0.0114,0.3156
0.1,5,aggregate,641,0.005634,0.5913,11.5723,0.0159,0.2628
0.1,10,0,321,0.013079,0.6168,8.1763,0.0096,0.2596
0.1,10,1,319,0.012399,0.6176,9.7238,0.0214,0.3156
0.1,10,aggregate,640,0.012740,0.6172,17.9002,0.0311,0.2872
